artist,related_artist,artist_popularity,related_artist_popularity,artist_followers,related_artist_followers,mean_arithmetic,mean_weighted
The Beatles,John Lennon,89,74,20418532,4356441,81.5,86.36239409827006
The Beatles,George Harrison,89,73,20418532,1925823,81.0,87.62098646391897
The Beatles,Paul McCartney,89,75,20418532,3638058,82.0,86.88279170073564
The Beatles,The Beach Boys,89,78,20418532,3273406,83.5,87.4801806420395
The Beatles,Ringo Starr,89,56,20418532,680721,72.5,87.93532756823191
The Beatles,The Kinks,89,71,20418532,1938735,80.0,87.43911020072355
The Beatles,The Rolling Stones,89,85,20418532,10666618,87.0,87.62743232701145
The Beatles,The Hollies,89,66,20418532,845334,77.5,88.08564689036321
The Beatles,Bob Dylan,89,77,20418532,5227614,83.0,86.55396510649203
The Beatles,The Byrds,89,63,20418532,737909,76.0,88.09315399504104
The Beatles,Simon & Garfunkel,89,76,20418532,3579968,82.5,87.06072946225805
The Beatles,Wings,89,69,20418532,701080,79.0,88.33608628794885
The Beatles,Buddy Holly,89,63,20418532,918864,76.0,87.88034772378035
The Beatles,Chuck Berry,89,70,20418532,1444785,79.5,87.7444304539883
The Beatles,Donovan,89,62,20418532,531975,75.5,88.31441635278803
The Beatles,Jimi Hendrix,89,76,20418532,5131229,82.5,86.38917412965233
The Beatles,Roy Orbison,89,70,20418532,1337407,79.5,87.83200936535077
The Beatles,Badfinger,89,60,20418532,265229,74.5,88.62813141188394
The Beatles,Elvis Presley,89,81,20418532,5760214,85.0,87.23972806031274
The Beatles,Eric Clapton,89,77,20418532,4413653,83.0,86.86712945316734
John Lennon,George Harrison,74,73,4356441,1925823,73.5,73.69345080053942
John Lennon,Ringo Starr,74,56,4356441,680721,65.0,71.56748383315843
John Lennon,Paul McCartney,74,75,4356441,3638058,74.5,74.45507016762402
John Lennon,Harry Nilsson,74,65,4356441,324140,69.5,73.37673122204274
John Lennon,The Kinks,74,71,4356441,1938735,72.5,73.0760854025368
John Lennon,The Beatles,74,89,4356441,20418532,81.5,86.36239409827006
John Lennon,Todd Rundgren,74,60,4356441,237936,67.0,73.27496067475525
John Lennon,Yoko Ono,74,54,4356441,91848,64.0,73.58704121966896
John Lennon,Bob Dylan,74,77,4356441,5227614,75.5,75.63634724550307
John Lennon,The Byrds,74,63,4356441,737909,68.5,72.4066664049388
John Lennon,The Who,74,74,4356441,4115629,74.0,74.0
John Lennon,Donovan,74,62,4356441,531975,68.0,72.69411686730426
John Lennon,Yusuf / Cat Stevens,74,74,4356441,1359477,74.0,74.0
John Lennon,David Bowie,74,82,4356441,7177352,78.0,78.97831164474688
John Lennon,The Hollies,74,66,4356441,845334,70.0,72.69992992776504
John Lennon,Simon & Garfunkel,74,76,4356441,3579968,75.0,74.90216318236624
John Lennon,The Rolling Stones,74,85,4356441,10666618,79.5,81.81018020364561
John Lennon,Electric Light Orchestra,74,76,4356441,2882221,75.0,74.79634081547114
John Lennon,The Beach Boys,74,78,4356441,3273406,76.0,75.71610570959024
George Harrison,Ringo Starr,73,56,1925823,680721,64.5,68.56030629062852
George Harrison,John Lennon,73,74,1925823,4356441,73.5,73.69345080053942
George Harrison,Traveling Wilburys,73,63,1925823,788029,68.0,70.09627127787367
George Harrison,Wings,73,69,1925823,701080,71.0,71.93246153360059
George Harrison,Paul McCartney,73,75,1925823,3638058,74.0,74.30774112530445
George Harrison,Badfinger,73,60,1925823,265229,66.5,71.42633721153126
George Harrison,Harry Nilsson,73,65,1925823,324140,69.0,71.84748326972488
George Harrison,Faces,73,63,1925823,300555,68.0,71.65002708434956
George Harrison,The Zombies,73,64,1925823,693142,68.5,70.61803689625482
George Harrison,The Kinks,73,71,1925823,1938735,72.0,71.9966588675859
George Harrison,Donovan,73,62,1925823,531975,67.5,70.61911882099342
George Harrison,Pete Townshend,73,53,1925823,262200,63.0,70.60331587007998
George Harrison,The Lovin' Spoonful,73,61,1925823,351326,67.0,71.14860072836692
George Harrison,The Byrds,73,63,1925823,737909,68.0,70.2297926367968
George Harrison,"Crosby, Stills, Nash & Young",73,65,1925823,1232801,69.0,69.87762519375525
George Harrison,The Band,73,68,1925823,812492,70.5,71.51643802849563
George Harrison,Derek & The Dominos,73,65,1925823,496380,69.0,71.36056680633291
George Harrison,"Crosby, Stills & Nash",73,64,1925823,1337417,68.5,69.3114104387051
George Harrison,The Yardbirds,73,54,1925823,717542,63.5,67.8424458975586
Paul McCartney,John Lennon,75,74,3638058,4356441,74.5,74.45507016762402
Paul McCartney,George Harrison,75,73,3638058,1925823,74.0,74.30774112530445
Paul McCartney,Ringo Starr,75,56,3638058,680721,65.5,72.0052417593028
Paul McCartney,Wings,75,69,3638058,701080,72.0,74.03057243166731
Paul McCartney,Badfinger,75,60,3638058,265229,67.5,73.98074750844609
Paul McCartney,The Beatles,75,89,3638058,20418532,82.0,86.88279170073564
Paul McCartney,Todd Rundgren,75,60,3638058,237936,67.5,74.07919362104276
Paul McCartney,Electric Light Orchestra,75,76,3638058,2882221,75.5,75.44203952008802
Paul McCartney,The Beach Boys,75,78,3638058,3273406,76.5,76.42085931432183
Paul McCartney,The Hollies,75,66,3638058,845334,70.5,73.3030691940388
Paul McCartney,The Who,75,74,3638058,4115629,74.5,74.4692036188719
