artist,related_artist,artist_popularity,related_artist_popularity,artist_followers,related_artist_followers,mean_arithmetic,mean_weighted,artist_genres,related_artist_genres
The Beatles,John Lennon,88,73,20439057,4361316,80.5,85.36214693222557,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']","['album rock', 'art rock', 'beatlesque', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock']"
The Beatles,George Harrison,88,72,20439057,1927966,80.0,86.62085106274536,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']","['album rock', 'beatlesque', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock']"
The Beatles,Paul McCartney,88,74,20439057,3641318,81.0,85.88298761958649,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']","['album rock', 'art rock', 'beatlesque', 'classic rock', 'mellow gold', 'rock', 'soft rock']"
The Beatles,The Beach Boys,88,77,20439057,3276761,82.5,86.48015484854876,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']","['baroque pop', 'brill building pop', 'classic rock', 'psychedelic rock', 'rock', 'sunshine pop']"
The Beatles,Ringo Starr,88,56,20439057,681542,72.0,86.96738989268249,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']","['album rock', 'beatlesque', 'bubblegum pop', 'classic rock', 'country rock', 'folk rock', 'mellow gold', 'rock', 'rock drums', 'soft rock']"
The Beatles,The Kinks,88,71,20439057,1940634,79.5,86.52586087984861,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']","['album rock', 'art rock', 'british invasion', 'classic rock', 'folk rock', 'glam rock', 'mellow gold', 'protopunk', 'psychedelic rock', 'rock']"
The Beatles,The Rolling Stones,88,84,20439057,10677748,86.0,86.62739789640999,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']","['british invasion', 'classic rock', 'rock']"
The Beatles,The Hollies,88,66,20439057,846320,77.0,87.12526613928426,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']","['album rock', 'art rock', 'brill building pop', 'british invasion', 'bubblegum pop', 'classic rock', 'country rock', 'folk rock', 'mellow gold', 'merseybeat', 'psychedelic rock', 'rock', 'rock-and-roll', 'soft rock']"
The Beatles,Bob Dylan,88,77,20439057,5231869,82.5,85.75814246046286,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']","['classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter']"
The Beatles,The Byrds,88,62,20439057,738664,75.0,87.09313830321969,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']","['art rock', 'beatlesque', 'blues rock', 'brill building pop', 'classic rock', 'cosmic american', 'country rock', 'folk', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock', 'soft rock']"
The Beatles,Simon & Garfunkel,88,75,20439057,3583947,81.5,86.06055433367118,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']","['classic rock', 'folk', 'folk rock', 'melancholia', 'mellow gold', 'rock']"
The Beatles,Wings,88,68,20439057,701998,78.0,87.33589123153978,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']","['album rock', 'art rock', 'beatlesque', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock']"
The Beatles,Buddy Holly,88,63,20439057,919908,75.5,86.9232764789867,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']","['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'rock-and-roll', 'rockabilly']"
The Beatles,Chuck Berry,88,69,20439057,1446088,78.5,86.74455152113454,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']","['blues rock', 'classic rock', 'rock', 'rock-and-roll', 'rockabilly', 'soul']"
The Beatles,Donovan,88,62,20439057,532504,75.0,87.3398152860438,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']","['art rock', 'british folk', 'british invasion', 'classic rock', 'country rock', 'folk', 'folk rock', 'glam rock', 'mellow gold', 'psychedelic folk', 'psychedelic rock', 'rock', 'roots rock', 'scottish singer-songwriter', 'singer-songwriter']"
The Beatles,Jimi Hendrix,88,75,20439057,5135726,81.5,85.38944263965016,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']","['acid rock', 'album rock', 'blues rock', 'classic rock', 'psychedelic rock', 'rock']"
The Beatles,Roy Orbison,88,69,20439057,1339289,78.5,86.83156916507801,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']","['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'mellow gold', 'rock-and-roll', 'rockabilly', 'soft rock']"
The Beatles,Badfinger,88,59,20439057,265577,73.5,87.62801887731993,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']","['album rock', 'art rock', 'beatlesque', 'blues rock', 'bubblegum pop', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'jangle pop', 'mellow gold', 'power pop', 'psychedelic rock', 'rock', 'roots rock', 'soft rock', 'symphonic rock']"
The Beatles,Elvis Presley,88,80,20439057,5767481,84.0,86.23937644873199,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']","['rock-and-roll', 'rockabilly']"
